"Age","LoanAmount","CreditScore","MonthsEmployed","NumCreditLines","InterestRate","LoanTerm","Education","EmploymentType","MaritalStatus","HasCoSigner","Default","Income100k"
57,119894,339,61,1,7.6,12,"PhD","Self-employed","Divorced","No",0,0.48416
36,149980,398,61,4,2.38,60,"Bachelor's","Self-employed","Divorced","Yes",1,0.27759
65,11876,332,41,2,22.91,48,"High School","Self-employed","Married","Yes",0,0.74237
47,69878,449,20,2,11.18,36,"Master's","Unemployed","Divorced","No",1,1.0348
28,58632,636,37,1,19.42,48,"Bachelor's","Unemployed","Single","No",0,0.58851
23,197698,513,61,1,22.3,24,"High School","Part-time","Divorced","No",0,1.34413
48,163715,551,45,3,22.91,48,"High School","Self-employed","Divorced","No",0,0.75825
34,117688,765,67,2,21.73,36,"Bachelor's","Full-time","Divorced","No",0,0.52472
21,58183,758,100,1,11.93,36,"High School","Part-time","Single","No",0,0.43524
39,202163,606,27,2,12.17,60,"Bachelor's","Full-time","Divorced","Yes",0,1.14518
51,170050,309,88,3,23.71,12,"Bachelor's","Self-employed","Single","Yes",0,1.49145
23,57285,581,18,2,7.46,24,"Master's","Full-time","Married","No",0,0.82309
68,209346,464,96,4,19.85,48,"Bachelor's","Self-employed","Single","No",0,0.39184
58,39038,725,103,1,22.45,12,"Bachelor's","Part-time","Divorced","Yes",0,0.25987
41,234028,687,105,1,8.85,12,"Master's","Part-time","Single","No",0,0.48628
53,103174,597,2,1,7.33,60,"High School","Unemployed","Married","No",0,0.31851
54,104250,831,74,2,4.9,48,"Master's","Part-time","Married","Yes",0,0.73576
24,229136,849,65,4,8.06,36,"High School","Unemployed","Single","No",1,0.91
53,101492,847,0,2,10.49,48,"PhD","Unemployed","Married","Yes",0,0.69502
64,171432,553,16,4,5.74,12,"Bachelor's","Part-time","Married","No",0,1.43763
49,67737,829,42,3,2.94,48,"High School","Part-time","Married","No",0,1.44767
57,47227,481,52,3,7.42,48,"PhD","Full-time","Married","Yes",0,0.40532
63,20456,712,85,3,6.71,48,"Master's","Unemployed","Divorced","Yes",0,1.11251
58,29826,809,62,1,18.38,12,"High School","Self-employed","Single","Yes",0,0.77041
39,233313,544,13,4,15.15,24,"Master's","Full-time","Single","Yes",1,0.87832
44,211551,318,73,1,15.75,36,"High School","Part-time","Married","Yes",1,0.36508
42,28197,315,36,3,24.32,12,"PhD","Self-employed","Married","No",1,0.44988
63,89604,338,48,3,14.56,36,"PhD","Full-time","Single","Yes",0,0.4559
65,154382,370,43,2,10.58,24,"High School","Unemployed","Single","No",0,0.95565
27,149190,560,50,2,24.34,12,"PhD","Part-time","Divorced","Yes",0,1.38475
35,28580,508,81,2,16.18,60,"Master's","Part-time","Married","Yes",0,0.86448
27,75610,756,85,2,6.39,36,"High School","Unemployed","Divorced","Yes",0,1.14491
60,176459,775,60,2,6.02,24,"Master's","Self-employed","Single","Yes",0,0.81745
49,119489,780,35,3,2.43,60,"High School","Unemployed","Divorced","Yes",0,1.42866
69,233499,600,15,3,12.94,36,"High School","Part-time","Married","No",0,1.23271
62,91234,661,76,4,17.74,60,"Master's","Self-employed","Divorced","No",0,0.89267
53,105638,470,2,4,10.16,48,"Master's","Full-time","Divorced","Yes",0,1.49108
58,238856,777,20,2,22.16,24,"Master's","Unemployed","Single","Yes",0,0.91415
64,211599,514,46,4,18.49,36,"High School","Full-time","Divorced","Yes",0,1.19198
58,74531,569,85,1,7.29,36,"Bachelor's","Unemployed","Divorced","No",0,0.41083
51,219176,713,29,1,13.81,24,"Bachelor's","Part-time","Divorced","No",0,0.44973
58,37768,731,97,4,3.87,36,"Master's","Self-employed","Divorced","No",0,0.4337
42,109026,751,49,1,13.53,48,"PhD","Unemployed","Married","No",0,0.78589
18,106250,381,16,1,19.24,12,"Bachelor's","Self-employed","Married","Yes",1,1.1
38,105841,493,58,1,22.81,48,"PhD","Unemployed","Single","No",0,1.27163
23,111131,810,56,2,16.84,24,"PhD","Unemployed","Divorced","Yes",1,1.1347
60,234354,495,58,2,5.68,24,"High School","Self-employed","Single","Yes",0,0.70884
23,181153,319,12,4,9.15,24,"PhD","Self-employed","Single","No",1,0.36556
56,57915,626,82,4,3.49,60,"Master's","Self-employed","Divorced","Yes",0,0.2412
50,75076,375,32,2,3.13,24,"High School","Full-time","Single","No",0,1.25462
59,177499,713,88,4,3.73,60,"High School","Unemployed","Single","No",0,0.23188
65,212914,702,67,3,2.16,60,"Master's","Self-employed","Single","Yes",0,1.02019
58,138681,782,72,3,11.94,24,"PhD","Part-time","Married","Yes",0,1.26808
52,98451,806,3,4,18.58,24,"Master's","Part-time","Married","Yes",0,0.94596
69,77867,585,44,3,23.86,48,"Bachelor's","Self-employed","Single","Yes",0,1.22307
58,236237,464,106,3,5.64,48,"Bachelor's","Part-time","Married","No",0,0.71304
24,229635,504,105,4,14.61,60,"PhD","Full-time","Divorced","No",0,0.58166
30,120844,320,43,4,8.23,36,"Master's","Self-employed","Single","Yes",0,1.25142
66,225073,485,61,2,22.04,36,"PhD","Part-time","Divorced","No",0,1.03902
29,110299,341,71,4,19.82,36,"Bachelor's","Part-time","Divorced","No",1,0.3167
54,189046,610,75,3,8.44,48,"High School","Unemployed","Single","Yes",0,0.82162
57,165358,488,112,3,15.09,24,"PhD","Self-employed","Single","Yes",1,0.75604
30,139365,387,75,1,5.31,60,"Master's","Part-time","Single","No",0,0.66204
33,93401,781,92,4,3.76,36,"High School","Self-employed","Divorced","No",0,0.48496
49,226720,562,27,1,13.91,36,"Master's","Full-time","Married","Yes",0,0.64761
55,160304,419,100,1,5.91,24,"PhD","Part-time","Divorced","Yes",0,0.72253
39,233365,382,89,2,6.93,36,"Master's","Full-time","Married","No",0,1.0317
34,63939,399,36,4,21.8,36,"Bachelor's","Unemployed","Married","Yes",1,0.38471
32,229645,460,56,1,14.45,36,"PhD","Unemployed","Married","Yes",0,1.31966
25,249892,683,69,2,22.31,60,"Bachelor's","Unemployed","Divorced","No",0,0.75852
27,192712,757,35,2,9.96,12,"High School","Unemployed","Single","Yes",1,1.36429
46,134206,665,70,1,14.43,12,"High School","Part-time","Single","No",0,0.73823
26,112538,427,4,1,10.26,24,"High School","Self-employed","Single","Yes",0,1.41054
24,76723,503,50,1,15.11,36,"Master's","Unemployed","Married","No",0,1.19778
64,149788,525,61,1,2.52,36,"High School","Unemployed","Divorced","No",0,0.48668
38,156569,732,87,1,3.01,36,"High School","Self-employed","Divorced","No",0,1.19653
53,54682,369,47,2,20.02,12,"PhD","Self-employed","Married","No",0,0.83797
20,42226,524,56,3,22.46,36,"PhD","Unemployed","Married","Yes",0,0.80323
38,164586,312,66,3,10.08,60,"Master's","Unemployed","Married","Yes",0,0.2106
19,150392,514,61,2,15.01,36,"Master's","Unemployed","Divorced","Yes",0,1.43539
46,68053,835,43,1,8.04,24,"High School","Unemployed","Divorced","No",0,0.43409
32,43416,442,45,4,19.75,24,"PhD","Full-time","Divorced","No",1,0.77499
51,94149,687,65,1,18.93,60,"Bachelor's","Unemployed","Divorced","Yes",0,1.42058
57,18786,570,49,1,9.55,24,"Master's","Full-time","Single","Yes",0,0.33826
56,246151,332,25,4,10.23,48,"Bachelor's","Self-employed","Married","Yes",0,1.05351
20,48933,352,70,1,20.46,12,"PhD","Full-time","Divorced","No",0,0.82809
24,134525,478,8,1,9,48,"PhD","Part-time","Married","No",1,1.15112
59,87811,721,97,1,3.94,60,"Bachelor's","Unemployed","Divorced","Yes",0,1.04684
67,230135,628,94,4,22.17,36,"High School","Full-time","Divorced","No",0,0.1711
33,28143,666,75,2,8.58,60,"Master's","Part-time","Married","Yes",0,1.40589
38,5987,432,69,4,15.62,60,"Bachelor's","Unemployed","Single","Yes",0,1.10668
66,114176,329,94,2,7.7,36,"PhD","Part-time","Single","No",0,0.86862
52,201249,538,39,4,19.51,36,"Bachelor's","Part-time","Single","No",0,0.45304
34,205916,419,29,3,8.32,36,"PhD","Full-time","Single","Yes",0,0.78975
31,167228,477,28,4,11.02,24,"High School","Unemployed","Divorced","No",0,0.67705
27,51010,420,21,3,16.91,12,"High School","Self-employed","Divorced","No",0,1.2856
37,42315,744,72,2,18.46,60,"High School","Unemployed","Married","No",0,0.78782
22,157711,509,77,2,19.56,24,"PhD","Full-time","Single","Yes",0,0.77997
24,124244,734,103,3,18.36,12,"Master's","Part-time","Divorced","Yes",1,1.36756
49,223816,431,43,4,2.63,60,"PhD","Self-employed","Single","No",0,1.37109
39,246135,639,53,4,9.99,36,"High School","Unemployed","Married","Yes",0,0.71907
53,223548,660,42,1,6.37,24,"PhD","Full-time","Married","No",0,1.05001
20,167110,397,98,1,23.06,48,"Bachelor's","Part-time","Divorced","Yes",0,0.68554
24,220515,774,63,4,21.84,48,"Master's","Full-time","Divorced","Yes",0,1.37748
29,132128,512,74,4,15.74,12,"High School","Self-employed","Divorced","No",0,0.30375
67,125035,829,81,4,15.83,12,"Master's","Part-time","Divorced","Yes",0,1.2722
48,60566,445,84,3,4.19,12,"Bachelor's","Self-employed","Single","Yes",0,0.53133
33,124012,730,23,3,14.11,48,"High School","Full-time","Single","No",0,0.20921
29,237175,597,6,1,17.45,48,"PhD","Unemployed","Single","Yes",0,0.66984
35,51713,417,119,4,9.97,48,"PhD","Full-time","Divorced","Yes",0,0.17029
63,249003,638,104,1,2.34,36,"High School","Unemployed","Married","Yes",0,0.46791
41,24365,591,7,2,2.13,36,"High School","Part-time","Married","No",0,0.28758
30,18741,615,63,3,21.44,12,"Bachelor's","Unemployed","Married","No",0,1.36755
67,196623,428,100,2,16.44,24,"Master's","Unemployed","Single","No",1,1.28001
69,21833,366,22,3,22.33,60,"Bachelor's","Full-time","Divorced","Yes",0,1.01228
36,44949,386,87,3,13.78,48,"PhD","Unemployed","Single","Yes",0,0.39105
41,101460,441,16,3,17.89,48,"Bachelor's","Part-time","Divorced","No",1,0.89746
32,94180,717,57,4,9.61,60,"PhD","Unemployed","Married","Yes",0,0.39617
19,211357,469,82,2,23.55,36,"High School","Self-employed","Single","Yes",0,1.23459
22,120537,528,106,3,3.89,48,"Bachelor's","Full-time","Married","Yes",0,0.48942
40,132079,655,62,3,2.04,24,"Master's","Unemployed","Single","No",0,0.18093
29,237884,594,44,3,10.24,12,"High School","Part-time","Divorced","Yes",0,1.12002
51,60836,575,33,2,17.22,24,"High School","Unemployed","Divorced","No",0,0.29162
40,163646,433,19,3,6.71,60,"High School","Part-time","Married","No",0,0.64622
53,232091,540,27,2,14.8,60,"Master's","Part-time","Divorced","Yes",0,0.30376
24,79793,397,84,1,10.42,48,"Bachelor's","Part-time","Married","No",0,1.40761
62,149449,504,90,2,5.78,24,"PhD","Part-time","Married","No",0,0.66214
64,230979,323,58,3,9.48,48,"Bachelor's","Full-time","Married","No",0,1.08941
28,216528,807,63,1,11.3,12,"PhD","Part-time","Divorced","No",0,0.3231
48,148043,600,80,1,5.79,48,"Bachelor's","Part-time","Married","Yes",0,1.08929
39,41740,632,78,2,2.16,48,"Master's","Full-time","Divorced","No",0,1.39497
49,23991,513,83,2,8.81,36,"PhD","Part-time","Married","No",0,1.25557
50,135649,513,6,3,22.09,24,"Bachelor's","Unemployed","Divorced","No",0,0.98305
22,134001,734,108,2,15.29,12,"High School","Self-employed","Single","Yes",0,0.64459
21,203007,384,56,3,6.83,60,"Bachelor's","Self-employed","Divorced","No",1,0.99191
34,108401,374,73,1,16.82,60,"Bachelor's","Part-time","Single","No",0,0.984
34,248884,416,41,3,9.86,24,"Master's","Part-time","Single","Yes",1,0.45587
26,50476,447,82,4,23.08,36,"Master's","Part-time","Divorced","No",0,0.72165
22,196380,383,43,1,15.01,24,"PhD","Unemployed","Married","No",0,0.57989
31,184388,391,68,2,21.76,12,"Master's","Full-time","Married","No",1,0.42606
69,118112,419,12,2,24.25,24,"Bachelor's","Self-employed","Divorced","No",0,1.05208
55,228709,726,43,2,12.02,48,"Master's","Full-time","Divorced","Yes",0,0.44523
69,113964,498,103,4,9.03,48,"Bachelor's","Self-employed","Married","Yes",0,1.06647
28,152100,843,14,3,11.16,60,"High School","Unemployed","Divorced","No",1,0.93125
51,160776,551,111,1,13.21,48,"High School","Full-time","Single","No",0,1.36131
46,200857,765,50,4,2.21,48,"High School","Self-employed","Married","Yes",0,0.35586
43,32648,691,19,2,4.69,48,"Master's","Full-time","Married","No",0,0.84508
46,152090,386,114,1,19.67,60,"PhD","Part-time","Single","No",1,1.31587
47,191109,759,108,1,2.79,12,"Master's","Self-employed","Single","Yes",0,0.5547
30,69578,616,49,3,12.59,24,"PhD","Self-employed","Divorced","No",0,0.23942
58,146508,393,76,2,2.16,60,"PhD","Part-time","Married","No",0,1.48266
27,65883,577,80,1,23.47,36,"High School","Self-employed","Divorced","No",0,0.99267
41,144005,701,73,2,5.64,60,"High School","Self-employed","Married","Yes",0,0.53563
56,65160,694,62,4,21.84,48,"PhD","Part-time","Married","No",0,1.43044
53,5084,623,11,3,4.87,24,"Master's","Full-time","Single","Yes",0,0.42186
67,30223,499,35,1,6.07,48,"High School","Part-time","Divorced","No",0,0.85596
22,109837,416,83,2,5.92,12,"High School","Full-time","Single","No",0,1.20604
52,51790,314,34,4,3.56,36,"High School","Unemployed","Divorced","Yes",0,1.34036
24,150874,684,13,4,23.44,60,"Bachelor's","Part-time","Divorced","Yes",1,0.5693
49,168906,542,106,3,8.38,24,"Master's","Full-time","Divorced","No",0,1.15259
49,145531,436,77,1,8.73,60,"High School","Self-employed","Divorced","Yes",0,1.19217
23,206655,333,91,2,16.67,12,"PhD","Unemployed","Divorced","Yes",1,0.22039
61,9300,561,73,3,6.82,24,"Master's","Self-employed","Single","No",0,0.26771
59,227568,511,105,4,4.03,60,"High School","Full-time","Married","Yes",0,0.40074
36,39431,791,70,4,10.16,48,"Master's","Self-employed","Single","No",1,0.6568
60,79609,402,113,1,16.95,36,"Bachelor's","Self-employed","Divorced","No",0,1.02015
67,49262,504,41,3,13.01,48,"PhD","Part-time","Single","No",0,1.03412
69,30908,391,86,1,8.14,60,"Master's","Part-time","Single","No",0,0.6
34,75338,664,60,4,18.8,60,"High School","Unemployed","Married","No",1,0.60651
38,45173,566,45,2,4.95,36,"Master's","Full-time","Married","Yes",0,1.34734
27,212410,740,0,1,4.3,12,"Master's","Full-time","Married","Yes",0,0.6827
42,227623,623,105,1,24.12,48,"PhD","Unemployed","Single","No",0,0.31067
66,228552,747,62,3,20.39,12,"Master's","Full-time","Divorced","No",0,0.57664
40,169558,531,86,4,10.53,12,"High School","Full-time","Married","Yes",0,1.48664
66,122362,810,73,2,11.57,24,"Bachelor's","Part-time","Single","No",0,1.38979
22,44564,551,28,3,14.88,36,"Master's","Unemployed","Divorced","Yes",0,0.3395
39,126851,345,98,2,4.35,60,"Master's","Unemployed","Single","Yes",0,1.4464
68,200296,784,18,3,18.05,48,"High School","Unemployed","Divorced","No",0,1.33042
27,96772,667,45,1,21.62,12,"Master's","Self-employed","Divorced","Yes",1,0.36803
53,180292,685,34,3,22.05,48,"PhD","Unemployed","Single","No",0,1.40452
48,94636,549,24,1,14.21,12,"Bachelor's","Part-time","Married","Yes",0,0.73004
64,95164,415,45,4,7.52,48,"Master's","Unemployed","Single","Yes",0,0.24759
23,112245,753,63,2,4.3,12,"Master's","Unemployed","Married","Yes",0,1.38613
33,89399,595,53,4,11.63,60,"Master's","Part-time","Married","No",1,1.10857
61,50191,476,34,4,17.38,12,"Master's","Full-time","Single","No",0,1.03468
61,65757,671,21,2,8.72,24,"Master's","Full-time","Divorced","Yes",0,1.06556
27,38230,454,58,3,20.45,12,"Bachelor's","Part-time","Divorced","No",0,0.53529
38,29683,468,71,1,2.95,24,"High School","Self-employed","Married","No",0,1.46719
45,222245,456,37,3,13.03,12,"Master's","Part-time","Single","Yes",0,0.82649
43,83111,667,77,3,22.01,60,"Bachelor's","Self-employed","Married","Yes",0,1.07625
26,240891,702,80,2,19.49,36,"Master's","Unemployed","Single","Yes",1,0.72788
33,21215,623,39,1,23.33,60,"Master's","Self-employed","Married","Yes",0,0.40063
40,64655,707,53,4,14.75,12,"Master's","Self-employed","Divorced","Yes",0,0.85466
31,246594,475,83,2,22.09,12,"Master's","Self-employed","Single","Yes",0,0.37936
30,127760,418,3,2,15.82,12,"Master's","Part-time","Single","No",0,1.40794
20,26203,437,33,3,24.31,60,"Master's","Self-employed","Single","No",1,1.03763
48,141877,373,16,2,9.92,12,"Master's","Self-employed","Divorced","Yes",0,0.7757
19,44330,376,81,4,11.18,36,"Bachelor's","Full-time","Divorced","No",0,0.57404
47,64380,581,35,1,12.2,48,"Master's","Unemployed","Single","Yes",0,0.99336
30,195177,374,105,1,18.65,48,"High School","Part-time","Married","No",0,1.05849
27,23808,523,62,2,19.93,24,"High School","Unemployed","Divorced","No",0,0.52107
23,124156,470,21,1,17.72,60,"Master's","Part-time","Divorced","Yes",0,0.31776
44,202892,671,60,2,15.51,12,"Bachelor's","Self-employed","Married","Yes",1,0.64683
35,126271,505,33,4,10.41,24,"Master's","Unemployed","Divorced","Yes",0,1.32604
51,89946,607,83,1,9.15,48,"High School","Unemployed","Divorced","Yes",0,1.02982
58,108657,578,116,1,7.95,48,"Master's","Part-time","Married","No",0,0.84401
59,192949,756,96,3,3.81,48,"Bachelor's","Unemployed","Single","No",0,0.59583
49,137557,761,56,4,16.09,48,"Bachelor's","Full-time","Married","No",0,0.27783
68,229559,765,66,4,15.92,60,"PhD","Full-time","Divorced","No",0,0.77093
24,79664,815,66,3,4.2,36,"PhD","Part-time","Divorced","Yes",0,0.37745
45,31290,844,106,2,5.41,60,"PhD","Part-time","Married","Yes",0,0.40355
27,56709,444,90,1,18.94,48,"Master's","Self-employed","Married","No",0,0.26896
25,18273,429,81,4,4.83,36,"Master's","Unemployed","Married","Yes",0,0.78982
66,16421,304,68,2,3.68,60,"PhD","Part-time","Divorced","Yes",0,0.76234
22,115262,523,3,4,22.47,48,"PhD","Unemployed","Single","No",1,0.86167
21,197152,787,104,1,19.94,36,"High School","Self-employed","Divorced","Yes",0,1.44811
24,211214,478,39,4,15.13,12,"Bachelor's","Full-time","Married","Yes",0,0.61938
18,113672,739,58,4,4.63,60,"PhD","Self-employed","Single","Yes",0,1.14587
51,105811,434,19,3,12.29,24,"PhD","Unemployed","Divorced","Yes",0,0.69829
30,144494,808,69,2,21.77,48,"Bachelor's","Self-employed","Single","No",0,0.86294
20,30205,746,19,2,14.9,36,"Master's","Unemployed","Single","Yes",0,0.86451
31,90414,580,48,4,19.62,36,"Bachelor's","Self-employed","Divorced","Yes",1,0.24771
67,221582,304,84,3,20.34,36,"PhD","Part-time","Single","Yes",0,1.21288
37,189912,745,91,3,14.26,24,"High School","Unemployed","Single","Yes",0,1.13469
65,76185,770,71,3,16.06,48,"PhD","Self-employed","Divorced","Yes",0,0.3782
48,77462,696,61,4,6.46,36,"High School","Unemployed","Married","Yes",0,1.00434
62,232748,415,24,1,21.24,24,"PhD","Self-employed","Single","No",0,0.63631
48,235426,844,32,4,13.06,12,"High School","Unemployed","Divorced","Yes",0,1.49842
26,78565,611,17,4,14.11,24,"Bachelor's","Self-employed","Married","Yes",0,0.95452
22,41461,506,62,3,7.92,24,"Master's","Unemployed","Married","No",0,1.2316
69,199494,501,107,4,3.23,12,"High School","Unemployed","Single","Yes",0,0.94454
41,178882,733,52,2,15.21,60,"Master's","Part-time","Divorced","Yes",0,0.59223
38,230709,371,27,3,4.67,60,"Bachelor's","Self-employed","Divorced","Yes",0,0.45747
58,172471,683,73,4,14.11,36,"PhD","Part-time","Single","No",0,0.91746
23,136953,775,65,1,13.3,24,"Master's","Part-time","Single","Yes",0,0.66099
33,98874,662,77,3,23.37,48,"Bachelor's","Unemployed","Divorced","Yes",0,1.07773
39,241069,324,46,2,20.46,36,"High School","Full-time","Single","Yes",0,0.34331
47,124844,452,20,3,12.18,60,"Bachelor's","Part-time","Single","No",0,0.26546
19,30524,729,18,2,13.62,36,"PhD","Self-employed","Married","Yes",1,1.00678
22,46813,743,110,1,23.6,60,"High School","Part-time","Divorced","Yes",0,0.72962
18,228711,619,31,2,8.34,24,"Bachelor's","Self-employed","Single","Yes",0,1.16105
40,124385,399,119,1,5.41,12,"Master's","Self-employed","Divorced","Yes",0,0.30577
24,56657,775,81,3,8.41,60,"Bachelor's","Unemployed","Divorced","No",0,1.41305
55,206642,423,65,3,20.44,60,"PhD","Unemployed","Single","No",0,1.25521
49,42248,799,71,3,6.68,24,"PhD","Self-employed","Divorced","No",0,1.03285
32,55921,546,39,2,8.38,24,"PhD","Full-time","Married","Yes",0,0.77767
24,19440,679,104,1,11.41,12,"Bachelor's","Self-employed","Single","No",0,0.60913
23,173954,327,78,1,22.51,60,"High School","Part-time","Divorced","No",1,0.1621
22,145545,354,46,1,20.25,12,"High School","Full-time","Married","No",1,1.22968
28,182162,505,54,2,24.95,36,"Bachelor's","Part-time","Married","No",0,0.61295
67,162067,700,31,4,6.63,24,"Bachelor's","Part-time","Divorced","Yes",0,1.48027
61,114096,633,35,3,4.86,60,"PhD","Full-time","Divorced","No",0,0.57534
28,73677,800,81,2,20.14,48,"PhD","Self-employed","Divorced","Yes",1,0.34604
28,168891,736,41,3,12.42,36,"PhD","Self-employed","Single","Yes",0,1.13188
58,90741,604,43,4,18.52,36,"Master's","Full-time","Married","No",0,0.30887
37,229125,531,28,2,7.41,48,"High School","Part-time","Divorced","Yes",0,0.22489
59,123452,668,68,3,11.9,24,"PhD","Full-time","Single","Yes",0,1.10061
55,223668,622,20,4,12.34,60,"High School","Self-employed","Single","Yes",0,1.46228
35,117409,688,51,4,18.92,24,"Bachelor's","Full-time","Divorced","Yes",0,0.64524
46,202799,464,88,4,23,60,"Bachelor's","Full-time","Married","No",1,0.76354
43,38321,347,54,3,17.5,36,"Master's","Part-time","Divorced","Yes",0,1.04448
61,233787,331,34,2,7.08,60,"High School","Full-time","Single","Yes",0,0.9972
63,162280,655,108,3,14.27,60,"Bachelor's","Part-time","Single","No",0,0.82596
48,67988,657,60,1,11.59,60,"PhD","Full-time","Single","Yes",0,0.56699
60,227493,832,116,2,3.44,36,"Master's","Part-time","Married","No",0,0.60507
47,167749,673,97,3,13.82,48,"High School","Unemployed","Married","Yes",0,1.42124
60,92868,529,6,1,23.7,12,"Master's","Self-employed","Divorced","No",1,0.59649
45,23014,323,16,1,17.76,48,"Master's","Part-time","Single","No",0,0.3453
27,215687,361,74,2,13.89,48,"Master's","Part-time","Married","Yes",1,0.25891
31,167256,675,102,4,16.66,24,"High School","Self-employed","Single","Yes",0,0.64116
53,18866,597,19,1,18.69,60,"Bachelor's","Full-time","Single","No",1,0.76685
65,177985,487,96,3,20.79,12,"High School","Full-time","Single","Yes",0,0.53733
28,210721,308,5,4,15.4,48,"Bachelor's","Self-employed","Single","Yes",0,0.47103
39,103615,405,25,1,8.94,60,"Master's","Self-employed","Married","No",0,1.25646
64,100634,847,45,2,24.93,24,"Master's","Part-time","Single","No",0,0.57325
47,11215,714,0,2,7.83,36,"Bachelor's","Part-time","Married","No",0,1.34395
66,248502,681,73,2,2.77,24,"High School","Part-time","Single","No",0,1.19121
27,200616,366,4,2,15.24,48,"Master's","Unemployed","Single","Yes",1,0.87233
23,59606,753,29,3,8.8,12,"PhD","Self-employed","Married","Yes",0,0.27871
37,241117,678,84,2,7.48,12,"Bachelor's","Self-employed","Single","No",0,0.71734
28,124659,737,82,4,21.19,12,"High School","Unemployed","Divorced","No",0,1.16799
33,65845,588,65,3,2.46,36,"PhD","Part-time","Single","No",1,0.17402
50,97383,626,59,1,10.57,12,"PhD","Self-employed","Married","No",0,0.57452
41,90181,709,83,3,18.37,24,"Master's","Full-time","Married","Yes",0,0.49487
64,73394,848,101,3,5.07,36,"PhD","Full-time","Divorced","No",0,1.1599
50,183708,446,33,2,21.61,48,"High School","Unemployed","Married","No",0,1.23179
23,109933,667,105,3,19.28,12,"High School","Full-time","Married","Yes",0,0.42835
48,62171,687,0,4,2.3,12,"PhD","Unemployed","Divorced","Yes",0,0.23449
18,36678,480,97,3,14.08,36,"PhD","Full-time","Single","No",0,1.43455
44,229034,550,10,2,23.78,48,"Bachelor's","Unemployed","Divorced","No",1,0.8823
18,134563,605,38,3,12.74,24,"Master's","Self-employed","Single","Yes",1,0.67687
58,49324,333,94,1,8.1,36,"PhD","Self-employed","Married","Yes",0,0.44783
42,165883,355,78,2,11.59,24,"PhD","Full-time","Divorced","No",0,0.46391
54,128293,335,31,4,13.62,60,"High School","Unemployed","Single","No",0,1.29074
44,223016,467,119,2,6.93,60,"PhD","Self-employed","Single","No",0,0.75026
60,168594,393,32,3,7.25,48,"High School","Full-time","Single","Yes",1,0.74836
63,220852,849,72,2,8.21,24,"Bachelor's","Self-employed","Married","No",0,1.2867
67,76433,749,20,1,19.41,24,"Bachelor's","Self-employed","Single","Yes",0,1.00568
63,197965,552,43,4,8.81,36,"PhD","Part-time","Married","No",0,1.24538
22,24662,529,19,3,22.4,24,"High School","Self-employed","Single","No",1,1.32691
25,51349,603,64,1,3.16,36,"Bachelor's","Unemployed","Married","Yes",0,0.36353
67,108257,546,71,2,13.46,12,"Bachelor's","Full-time","Single","Yes",0,0.88665
26,114409,639,40,4,8.78,48,"Bachelor's","Unemployed","Divorced","Yes",0,1.16612
62,120930,436,85,3,8.58,12,"Master's","Self-employed","Single","No",0,1.16518
43,162522,461,80,4,17.62,12,"PhD","Unemployed","Single","Yes",0,0.53862
54,171882,550,7,2,12.27,24,"PhD","Self-employed","Single","Yes",1,0.17567
46,135175,302,12,1,18.54,36,"High School","Part-time","Divorced","Yes",0,0.69442
24,40224,587,68,2,14.71,48,"Bachelor's","Full-time","Married","No",0,0.9218
42,226952,649,57,4,6.13,60,"Bachelor's","Part-time","Single","Yes",0,1.09608
